S.No,Station ID,Station Name,EVSE ID,Address,City,State,Latitude,Longitude,Station Status,EVSE Status,Protocol,Coordinates,Map Link
1,69429a8a6e6a9d78d55d364c,Shahdara,032300130C03054,"16 963, Grand Trunk Rd, opposite Shyam lal College, Shahdara, New Delhi, Delhi, 110032",New Delhi,Delhi,28.6745,77.2875,Available,Available,ocpp1.6,"28.6745, 77.2875","28.6745, 77.2875"
2,693fa2d56e6a9d78d55d35a7,TEST CHARGER 01,FLX_HDCHIN23,"Delhi, India",Delhi,Delhi,28.7041,77.1025,Maintenance,Maintenance,ocpp1.6,"28.7041, 77.1025","28.7041, 77.1025"
3,69340e5e6e6a9d78d55d336a,Sangam Cinema,032300130C03149,"Sangam Courtyard, Major Somnath Marg, Sector 9 R K Puram, KD Colony, Sector 9, Rama Krishna Puram, New Delhi, Delhi 110022, India",NEW DELHI,DELHI,28.5726,77.1735,Available,Available,ocpp1.6,"28.5726, 77.1735","28.5726, 77.1735"
4,69340c936e6a9d78d55d3368,Keshav Puram Metro Station,032300130C03069,"Tyagi Public School, Block B, Keshav Puram, Tri Nagar, New Delhi, Delhi, India",NEW DELHI,DELHI,28.6867,77.162,Available,Available,ocpp1.6,"28.6867, 77.162","28.6867, 77.162"
5,6925a542a05363dfeeb6b9b7,EV charging Station,30EVS14T4225D030,"Naharpur Kasan, Nawada Road, Manesar, Gurgaon 122051",Gurugram,Haryana,28.3515,76.9428,Maintenance,Coming soon,ocpp1.6,"28.3515, 76.9428","28.3515, 76.9428"
6,6925a542a05363dfeeb6b9b7,EV charging Station,3EVS15E3125M008,"Naharpur Kasan, Nawada Road, Manesar, Gurgaon 122051",Gurugram,Haryana,28.3515,76.9428,Maintenance,Coming soon,ocpp1.6,"28.3515, 76.9428","28.3515, 76.9428"
7,6925a542a05363dfeeb6b9b7,EV charging Station,37EVS0001,"Naharpur Kasan, Nawada Road, Manesar, Gurgaon 122051",Gurugram,Haryana,28.3515,76.9428,Maintenance,Maintenance,ocpp1.6,"28.3515, 76.9428","28.3515, 76.9428"
8,6925a542a05363dfeeb6b9b7,EV charging Station,7K4EVS12R4125M0013,"Naharpur Kasan, Nawada Road, Manesar, Gurgaon 122051",Gurugram,Haryana,28.3515,76.9428,Maintenance,Maintenance,ocpp1.6,"28.3515, 76.9428","28.3515, 76.9428"
9,691487cda05363dfeeb6b636,QUALCHARGE,EVSTAR7KWGRM,"378-379, Udyog Vihar Phase 4 Rd, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015",Gurugram,Haryana,28.5002,77.073,Available,Available,ocpp1.6,"28.5002, 77.073","28.5002, 77.073"
10,691487cda05363dfeeb6b636,QUALCHARGE,3EVS15E3125M002,"378-379, Udyog Vihar Phase 4 Rd, Electronic City, Phase IV, Udyog Vihar, Sector 18, Gurugram, Haryana 122015",Gurugram,Haryana,28.5002,77.073,Available,Available,ocpp1.6,"28.5002, 77.073","28.5002, 77.073"
